,MLP_Tran_loss,ANN_Tran_loss,Dual Q-Net_Tran_loss,MLP_Train_AAR,ANN_Train_AAR,Dual Q-Net_Train_AAR,MLP_Train_PAR,ANN_Train_PAR,Dual Q-Net_Train_PAR,MLP_Val_loss,ANN_Val_loss,Dual Q-Net_Val_loss,MLP_Val_AAR,ANN_Val_AAR,Dual Q-Net_Val_AAR,MLP_Val_PAR,ANN_Val_PAR,Dual Q-Net_Val_PAR
97,0.068,0.066,0.053,0.914,0.919,0.937,0.658,0.672,0.738,0.107,0.104,0.087,0.848,0.864,0.886,0.4,0.43,0.51
98,0.068,0.066,0.053,0.916,0.919,0.937,0.664,0.669,0.736,0.106,0.103,0.084,0.856,0.868,0.888,0.44,0.44,0.53
99,0.068,0.066,0.053,0.916,0.918,0.939,0.661,0.667,0.747,0.106,0.105,0.086,0.858,0.858,0.882,0.42,0.43,0.5
100,0.068,0.066,0.053,0.915,0.92,0.938,0.662,0.675,0.741,0.104,0.102,0.089,0.856,0.864,0.882,0.44,0.42,0.49
101,0.068,0.066,0.053,0.917,0.919,0.937,0.667,0.67,0.734,0.105,0.104,0.086,0.858,0.864,0.892,0.44,0.44,0.54
102,0.068,0.066,0.052,0.916,0.919,0.94,0.664,0.674,0.748,0.105,0.102,0.087,0.856,0.866,0.88,0.44,0.44,0.49
103,0.068,0.066,0.052,0.915,0.92,0.938,0.663,0.672,0.745,0.106,0.104,0.084,0.858,0.864,0.886,0.44,0.44,0.52
104,0.068,0.066,0.053,0.916,0.919,0.939,0.663,0.67,0.747,0.105,0.104,0.088,0.854,0.86,0.888,0.41,0.43,0.54
105,0.068,0.066,0.052,0.916,0.919,0.939,0.662,0.673,0.743,0.106,0.102,0.085,0.852,0.864,0.884,0.41,0.43,0.51
106,0.068,0.066,0.052,0.917,0.919,0.938,0.666,0.67,0.742,0.105,0.104,0.083,0.862,0.864,0.892,0.44,0.44,0.54
107,0.068,0.066,0.052,0.917,0.919,0.941,0.667,0.67,0.755,0.105,0.103,0.084,0.862,0.862,0.892,0.44,0.43,0.54
108,0.068,0.066,0.052,0.917,0.92,0.938,0.667,0.674,0.744,0.107,0.103,0.083,0.856,0.866,0.89,0.43,0.44,0.54
109,0.068,0.066,0.052,0.917,0.919,0.938,0.669,0.67,0.743,0.108,0.105,0.088,0.854,0.858,0.884,0.44,0.43,0.51
110,0.068,0.066,0.052,0.916,0.92,0.939,0.665,0.676,0.749,0.106,0.103,0.088,0.858,0.86,0.886,0.43,0.43,0.51
111,0.068,0.066,0.052,0.913,0.919,0.937,0.656,0.67,0.741,0.108,0.104,0.092,0.852,0.862,0.878,0.4,0.43,0.49
112,0.068,0.066,0.053,0.915,0.919,0.939,0.662,0.672,0.746,0.106,0.103,0.085,0.86,0.86,0.888,0.43,0.43,0.53
113,0.068,0.066,0.052,0.917,0.921,0.938,0.667,0.677,0.743,0.106,0.103,0.085,0.856,0.866,0.892,0.45,0.43,0.54
114,0.068,0.066,0.052,0.916,0.919,0.938,0.664,0.67,0.741,0.104,0.104,0.084,0.852,0.866,0.888,0.41,0.45,0.53
115,0.068,0.066,0.052,0.915,0.919,0.94,0.662,0.67,0.748,0.106,0.104,0.084,0.852,0.866,0.89,0.41,0.45,0.52
116,0.068,0.066,0.052,0.916,0.92,0.935,0.665,0.675,0.733,0.105,0.104,0.09,0.856,0.862,0.872,0.42,0.43,0.47
117,0.068,0.066,0.052,0.916,0.917,0.939,0.666,0.665,0.747,0.106,0.104,0.09,0.858,0.864,0.88,0.44,0.44,0.49
