,MLP_Tran_loss,ANN_Tran_loss,Dual Q-Net_Tran_loss,MLP_Train_AAR,ANN_Train_AAR,Dual Q-Net_Train_AAR,MLP_Train_PAR,ANN_Train_PAR,Dual Q-Net_Train_PAR,MLP_Val_loss,ANN_Val_loss,Dual Q-Net_Val_loss,MLP_Val_AAR,ANN_Val_AAR,Dual Q-Net_Val_AAR,MLP_Val_PAR,ANN_Val_PAR,Dual Q-Net_Val_PAR
0,0.26,0.243,0.251,0.455,0.588,0.493,0.095,0.19,0.07,0.245,0.226,0.241,0.513,0.657,0.51,0.12,0.23,0.06
1,0.249,0.242,0.244,0.518,0.588,0.574,0.205,0.19,0.153,0.231,0.221,0.232,0.597,0.657,0.603,0.28,0.23,0.15
2,0.239,0.236,0.238,0.589,0.588,0.683,0.242,0.19,0.361,0.22,0.218,0.224,0.637,0.657,0.75,0.34,0.23,0.43
3,0.232,0.234,0.233,0.615,0.588,0.691,0.28,0.19,0.382,0.212,0.216,0.217,0.677,0.657,0.77,0.39,0.23,0.52
4,0.228,0.232,0.226,0.625,0.588,0.683,0.308,0.19,0.4,0.205,0.215,0.209,0.677,0.657,0.763,0.41,0.23,0.52
5,0.221,0.234,0.221,0.652,0.613,0.689,0.331,0.191,0.412,0.199,0.213,0.202,0.687,0.683,0.777,0.4,0.23,0.54
6,0.216,0.23,0.215,0.668,0.661,0.705,0.355,0.274,0.419,0.195,0.213,0.195,0.71,0.743,0.773,0.44,0.35,0.53
7,0.211,0.229,0.207,0.687,0.68,0.718,0.361,0.314,0.435,0.191,0.212,0.189,0.703,0.75,0.78,0.43,0.4,0.53
8,0.208,0.226,0.203,0.703,0.666,0.714,0.399,0.304,0.433,0.187,0.211,0.181,0.717,0.73,0.79,0.46,0.38,0.55
9,0.202,0.225,0.199,0.71,0.653,0.727,0.403,0.289,0.46,0.184,0.21,0.175,0.723,0.71,0.813,0.47,0.35,0.58
10,0.199,0.223,0.192,0.712,0.655,0.748,0.406,0.291,0.461,0.18,0.209,0.168,0.73,0.71,0.807,0.48,0.35,0.53
11,0.194,0.223,0.185,0.715,0.662,0.747,0.415,0.29,0.45,0.178,0.208,0.161,0.737,0.71,0.81,0.5,0.35,0.53
12,0.19,0.22,0.179,0.723,0.66,0.759,0.427,0.287,0.457,0.175,0.207,0.155,0.75,0.703,0.813,0.51,0.35,0.54
13,0.185,0.219,0.172,0.725,0.678,0.765,0.434,0.289,0.469,0.172,0.206,0.149,0.763,0.703,0.827,0.52,0.35,0.57
14,0.182,0.217,0.165,0.746,0.688,0.775,0.49,0.294,0.498,0.17,0.205,0.143,0.77,0.717,0.837,0.53,0.36,0.59
15,0.18,0.213,0.162,0.753,0.709,0.778,0.504,0.312,0.501,0.167,0.204,0.137,0.787,0.723,0.84,0.55,0.37,0.59
16,0.175,0.212,0.156,0.752,0.718,0.786,0.502,0.321,0.522,0.165,0.202,0.132,0.787,0.73,0.843,0.55,0.38,0.61
17,0.177,0.211,0.155,0.753,0.721,0.816,0.506,0.332,0.53,0.163,0.201,0.128,0.787,0.727,0.85,0.55,0.38,0.63
18,0.171,0.207,0.145,0.766,0.725,0.817,0.51,0.325,0.53,0.161,0.199,0.124,0.793,0.72,0.857,0.56,0.37,0.64
19,0.172,0.206,0.143,0.783,0.73,0.821,0.55,0.331,0.544,0.159,0.198,0.12,0.803,0.723,0.857,0.58,0.37,0.65
