,MLP_Tran_loss,ANN_Tran_loss,Dual Q-Net_Tran_loss,MLP_Train_AAR,ANN_Train_AAR,Dual Q-Net_Train_AAR,MLP_Train_PAR,ANN_Train_PAR,Dual Q-Net_Train_PAR,MLP_Val_loss,ANN_Val_loss,Dual Q-Net_Val_loss,MLP_Val_AAR,ANN_Val_AAR,Dual Q-Net_Val_AAR,MLP_Val_PAR,ANN_Val_PAR,Dual Q-Net_Val_PAR
40,0.011,0.018,0.006,0.992,0.989,0.994,0.958,0.947,0.968,0.015,0.021,0.008,0.984,0.982,0.99,0.92,0.92,0.95
41,0.011,0.018,0.006,0.991,0.989,0.994,0.958,0.945,0.968,0.015,0.021,0.008,0.982,0.982,0.99,0.91,0.92,0.95
42,0.011,0.017,0.006,0.991,0.989,0.994,0.958,0.947,0.968,0.014,0.021,0.008,0.982,0.982,0.99,0.91,0.92,0.95
43,0.01,0.017,0.006,0.991,0.989,0.994,0.957,0.945,0.97,0.014,0.021,0.008,0.982,0.982,0.992,0.91,0.92,0.96
44,0.01,0.017,0.006,0.992,0.988,0.994,0.958,0.941,0.969,0.014,0.02,0.008,0.984,0.982,0.99,0.92,0.92,0.95
45,0.01,0.017,0.005,0.991,0.989,0.994,0.955,0.946,0.97,0.014,0.021,0.007,0.982,0.982,0.99,0.91,0.92,0.95
46,0.01,0.016,0.005,0.992,0.99,0.994,0.958,0.952,0.97,0.014,0.02,0.007,0.982,0.984,0.99,0.91,0.92,0.95
47,0.01,0.016,0.005,0.992,0.988,0.994,0.959,0.944,0.969,0.013,0.02,0.007,0.982,0.98,0.988,0.91,0.91,0.94
48,0.01,0.016,0.005,0.992,0.989,0.994,0.959,0.948,0.972,0.013,0.019,0.007,0.982,0.982,0.992,0.91,0.92,0.96
49,0.01,0.015,0.005,0.992,0.99,0.993,0.958,0.951,0.967,0.013,0.02,0.007,0.984,0.982,0.988,0.92,0.92,0.95
50,0.009,0.015,0.005,0.992,0.989,0.993,0.959,0.947,0.966,0.013,0.019,0.008,0.984,0.982,0.99,0.92,0.92,0.96
51,0.009,0.015,0.005,0.992,0.99,0.993,0.959,0.951,0.967,0.013,0.019,0.007,0.984,0.982,0.988,0.92,0.92,0.95
52,0.009,0.015,0.005,0.991,0.988,0.994,0.958,0.943,0.968,0.013,0.019,0.007,0.982,0.98,0.99,0.91,0.91,0.95
53,0.009,0.014,0.005,0.992,0.989,0.994,0.959,0.946,0.972,0.013,0.019,0.007,0.982,0.98,0.99,0.91,0.91,0.95
54,0.009,0.014,0.005,0.992,0.99,0.994,0.959,0.951,0.972,0.013,0.019,0.007,0.984,0.984,0.992,0.92,0.92,0.96
55,0.009,0.014,0.005,0.992,0.99,0.994,0.959,0.952,0.971,0.013,0.018,0.006,0.984,0.984,0.988,0.92,0.92,0.94
56,0.009,0.014,0.005,0.991,0.99,0.994,0.955,0.951,0.972,0.013,0.018,0.006,0.982,0.982,0.99,0.91,0.92,0.95
57,0.009,0.014,0.005,0.991,0.989,0.994,0.957,0.948,0.972,0.013,0.018,0.008,0.984,0.982,0.992,0.92,0.92,0.96
58,0.009,0.013,0.005,0.992,0.989,0.995,0.959,0.945,0.973,0.012,0.018,0.007,0.984,0.982,0.99,0.92,0.92,0.95
59,0.009,0.013,0.005,0.992,0.99,0.994,0.959,0.953,0.971,0.012,0.018,0.007,0.984,0.982,0.988,0.92,0.92,0.95
60,0.009,0.013,0.005,0.992,0.99,0.994,0.96,0.952,0.972,0.012,0.018,0.007,0.984,0.982,0.992,0.92,0.92,0.96
61,0.009,0.013,0.005,0.992,0.989,0.994,0.96,0.947,0.971,0.012,0.018,0.006,0.984,0.98,0.99,0.92,0.91,0.95
62,0.008,0.013,0.005,0.992,0.989,0.994,0.959,0.946,0.971,0.012,0.018,0.006,0.984,0.98,0.99,0.92,0.91,0.95
63,0.008,0.013,0.005,0.992,0.989,0.994,0.959,0.947,0.972,0.012,0.018,0.006,0.986,0.982,0.992,0.93,0.92,0.96
64,0.008,0.012,0.005,0.991,0.991,0.994,0.958,0.954,0.972,0.012,0.018,0.007,0.984,0.982,0.99,0.92,0.91,0.95
