sample,dina_par_0,dina_par_1,gdina_par_0,gdina_par_1,npc_par_0,npc_par_1,gnpc_par_0,gnpc_par_1,mlp_par_0,mlp_par_1,ann_par_0,ann_par_1,qnet_par_0,qnet_par_1
100,0.8949999999999999,0.606,0.7250000000000002,0.41600000000000004,0.6859999999999999,0.38799999999999996,0.663,0.351,0.951,0.6990000000000001,0.9579999999999999,0.6869999999999999,0.993,0.837
200,0.9315000000000001,0.733,0.753,0.4295000000000001,0.6875,0.397,0.6010000000000001,0.2995,0.9645000000000001,0.7390000000000001,0.9665000000000001,0.7404999999999999,0.9770000000000001,0.8059999999999998
300,0.9667000000000001,0.7872000000000001,0.6997,0.36279999999999996,0.6839999999999999,0.39169999999999994,0.5945,0.31690000000000007,0.9783,0.779,0.9803000000000001,0.7859999999999999,0.9814,0.8263
500,1.0,1.0,0.7969999999999999,0.4089999999999999,0.6771,0.3974000000000001,0.5497,0.2959,0.9692999999999999,0.7588,0.9742,0.7791,0.9709000000000001,0.8054
