,MLP_Tran_loss,ANN_Tran_loss,Dual Q-Net_Tran_loss,MLP_Train_AAR,ANN_Train_AAR,Dual Q-Net_Train_AAR,MLP_Train_PAR,ANN_Train_PAR,Dual Q-Net_Train_PAR,MLP_Val_loss,ANN_Val_loss,Dual Q-Net_Val_loss,MLP_Val_AAR,ANN_Val_AAR,Dual Q-Net_Val_AAR,MLP_Val_PAR,ANN_Val_PAR,Dual Q-Net_Val_PAR
40,0.14,0.143,0.13,0.771,0.761,0.786,0.216,0.164,0.225,0.086,0.098,0.082,0.896,0.877,0.894,0.41,0.45,0.49
41,0.14,0.142,0.13,0.771,0.761,0.787,0.215,0.165,0.225,0.086,0.097,0.083,0.896,0.881,0.892,0.41,0.47,0.48
42,0.14,0.142,0.13,0.77,0.761,0.786,0.214,0.164,0.224,0.085,0.098,0.082,0.889,0.88,0.889,0.4,0.46,0.51
43,0.14,0.142,0.13,0.771,0.763,0.786,0.215,0.173,0.223,0.086,0.097,0.082,0.89,0.88,0.886,0.36,0.46,0.47
44,0.14,0.142,0.13,0.771,0.763,0.786,0.216,0.171,0.224,0.085,0.098,0.08,0.895,0.881,0.901,0.41,0.46,0.51
45,0.14,0.141,0.129,0.77,0.763,0.787,0.21,0.172,0.227,0.085,0.097,0.083,0.889,0.876,0.89,0.36,0.43,0.48
46,0.14,0.141,0.129,0.771,0.763,0.786,0.214,0.174,0.222,0.085,0.096,0.082,0.889,0.88,0.887,0.36,0.44,0.47
47,0.139,0.141,0.129,0.77,0.763,0.787,0.214,0.174,0.225,0.085,0.096,0.082,0.889,0.882,0.89,0.36,0.44,0.49
48,0.139,0.141,0.129,0.77,0.764,0.788,0.212,0.176,0.227,0.085,0.096,0.081,0.884,0.885,0.897,0.36,0.46,0.52
49,0.139,0.14,0.129,0.771,0.765,0.787,0.216,0.174,0.226,0.085,0.097,0.083,0.899,0.882,0.891,0.44,0.43,0.47
50,0.139,0.14,0.129,0.771,0.764,0.786,0.216,0.173,0.228,0.085,0.095,0.081,0.892,0.886,0.907,0.43,0.46,0.52
51,0.139,0.14,0.129,0.771,0.766,0.787,0.215,0.178,0.225,0.085,0.095,0.083,0.892,0.884,0.894,0.43,0.46,0.5
52,0.139,0.14,0.129,0.771,0.765,0.788,0.215,0.178,0.226,0.084,0.095,0.082,0.899,0.886,0.895,0.44,0.45,0.49
53,0.139,0.14,0.129,0.771,0.767,0.787,0.216,0.179,0.226,0.085,0.095,0.082,0.892,0.884,0.894,0.39,0.46,0.5
54,0.139,0.139,0.129,0.771,0.766,0.787,0.216,0.184,0.225,0.084,0.096,0.081,0.901,0.881,0.887,0.45,0.44,0.45
55,0.139,0.139,0.129,0.771,0.765,0.786,0.216,0.178,0.222,0.085,0.095,0.083,0.892,0.884,0.885,0.39,0.46,0.47
56,0.139,0.139,0.129,0.77,0.766,0.787,0.211,0.178,0.23,0.085,0.095,0.083,0.891,0.887,0.902,0.42,0.46,0.52
57,0.139,0.139,0.129,0.771,0.766,0.788,0.214,0.177,0.228,0.085,0.095,0.084,0.886,0.886,0.895,0.38,0.46,0.49
58,0.139,0.139,0.129,0.771,0.767,0.786,0.213,0.194,0.223,0.084,0.094,0.084,0.889,0.886,0.885,0.4,0.46,0.48
59,0.139,0.139,0.129,0.771,0.768,0.787,0.216,0.192,0.225,0.084,0.094,0.084,0.892,0.89,0.882,0.39,0.47,0.46
60,0.139,0.138,0.129,0.771,0.768,0.788,0.215,0.193,0.228,0.085,0.095,0.082,0.892,0.889,0.889,0.39,0.46,0.49
61,0.139,0.138,0.129,0.771,0.768,0.787,0.215,0.193,0.229,0.084,0.094,0.084,0.89,0.882,0.889,0.37,0.46,0.5
62,0.139,0.138,0.129,0.771,0.769,0.786,0.211,0.193,0.225,0.085,0.094,0.083,0.882,0.887,0.899,0.35,0.46,0.48
63,0.139,0.138,0.129,0.771,0.768,0.787,0.212,0.193,0.222,0.084,0.094,0.084,0.885,0.887,0.886,0.37,0.46,0.45
64,0.139,0.138,0.129,0.771,0.768,0.787,0.217,0.193,0.227,0.084,0.094,0.083,0.891,0.887,0.882,0.38,0.47,0.46
65,0.139,0.138,0.129,0.771,0.768,0.788,0.215,0.192,0.227,0.084,0.094,0.083,0.891,0.881,0.891,0.38,0.43,0.49
66,0.139,0.138,0.129,0.771,0.768,0.788,0.212,0.193,0.23,0.085,0.093,0.081,0.884,0.885,0.901,0.36,0.45,0.52
67,0.139,0.137,0.129,0.772,0.764,0.788,0.216,0.19,0.228,0.085,0.094,0.082,0.892,0.882,0.904,0.39,0.43,0.51
68,0.139,0.137,0.129,0.771,0.764,0.788,0.211,0.191,0.23,0.084,0.093,0.083,0.881,0.884,0.899,0.34,0.44,0.52
